Life Form,,,Climber,Climber,Climber,Large Forb/Herb,Large Forb/Herb,Large Forb/Herb,Large Non-tufted grass/sedge,Large Non-tufted grass/sedge,Large Non-tufted grass/sedge,Large Shrub to Medium Tree,Large Shrub to Medium Tree,Large Shrub to Medium Tree,Large Tufted grass/sedge,Large Tufted grass/sedge,Large Tufted grass/sedge,Medium Forb/Herb,Medium Forb/Herb,Medium Forb/Herb,Medium Non-tufted grass/sedge,Medium Non-tufted grass/sedge,Medium Non-tufted grass/sedge,Medium Tufted grass/sedge,Medium Tufted grass/sedge,Medium Tufted grass/sedge,Non-tufted Ground Fern,Non-tufted Ground Fern,Non-tufted Ground Fern,Prostrate Shrub,Prostrate Shrub,Prostrate Shrub,Prostrate or Mat-forming Forb/Herb,Prostrate or Mat-forming Forb/Herb,Prostrate or Mat-forming Forb/Herb,Scrambler,Scrambler,Scrambler,Shrub,Shrub,Shrub,Small Forb/Herb,Small Forb/Herb,Small Forb/Herb,Small Non-tufted grass/sedge,Small Non-tufted grass/sedge,Small Non-tufted grass/sedge,Small Shrub,Small Shrub,Small Shrub,Small Tufted grass/sedge,Small Tufted grass/sedge,Small Tufted grass/sedge,Tiny Tufted grass/sedge,Tiny Tufted grass/sedge,Tiny Tufted grass/sedge,Tufted Ground Fern,Tufted Ground Fern,Tufted Ground Fern
Year,,,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6
Treatment,Fenced,Gap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Control,False,False,0.7777777777777778,1.0769230769230769,0.5,23.813253012048193,29.191358024691358,28.42168674698795,0,0,0.0,0.0,0.0,0.0,4.25,2.5294117647058822,0.8571428571428571,3.5714285714285716,9.369047619047619,4.258823529411765,9.41358024691358,3.9220779220779223,1.9683544303797469,2.488372093023256,3.1458333333333335,2.739130434782609,3.4,3.4444444444444446,4.269230769230769,0.5,9.0,1.25,10.7012987012987,7.691358024691358,1.798780487804878,0.5,0.0,0.5,1.3333333333333333,15.0,25.0,0.5,0.8125,0.5,0.6851851851851852,2.5762711864406778,0.9054054054054054,0.0,0.75,0.0,10.475609756097562,3.7142857142857144,2.396103896103896,0,0.0,0.5,0.5,1.3571428571428572,0.5
Control,False,True,0.6666666666666666,1.6666666666666667,0.5,36.59090909090909,68.45454545454545,40.31818181818182,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,3.0,11.454545454545455,8.090909090909092,2.0555555555555554,5.15,1.05,4.142857142857143,2.8125,0.5,0.5,1.5,0.0,0.5,0.5,3.0,2.1666666666666665,9.954545454545455,1.7727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.8181818181818183,0.9166666666666666,0.0,0.5,0.0,1.05,4.0,1.625,0,0.0,0.0,0.0,0.0,0.0
Gap,False,False,0.5,0.5,0.5,21.265625,21.63235294117647,24.46875,0,0,0.0,0.5,0.5,0.5,3.607142857142857,1.9166666666666667,1.3333333333333333,2.9571428571428573,5.573529411764706,5.393939393939394,4.606060606060606,2.3666666666666667,1.75,5.041666666666667,2.0588235294117645,1.0238095238095237,2.8333333333333335,2.375,5.875,0.0,0.0,0.0,3.106060606060606,2.453125,1.9264705882352942,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.7941176470588235,1.088235294117647,1.6111111111111112,0.0,0.0,0.5,4.573529411764706,3.3484848484848486,2.242424242424242,0,0.0,0.0,0.5,0.5,0.5
Gap,False,True,0.5,0.5,0.5,16.444444444444443,18.232142857142858,27.854166666666668,0,0,0.0,0.5,0.5,0.5,6.208333333333333,3.75,1.9,3.517857142857143,11.678571428571429,4.94,5.6,7.854166666666667,7.956521739130435,3.0,3.0,3.8055555555555554,4.0,3.0,3.0,0.5,0.5,0.0,5.84,3.9615384615384617,2.8518518518518516,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,1.125,2.46875,1.4375,0.0,0.0,0.0,8.62962962962963,5.518518518518518,3.9047619047619047,0,2.1666666666666665,0.5,0.5,1.75,1.1
Gap,True,False,0.0,0.0,0.0,5.3,11.045454545454545,15.0,0,0,3.0,0.5,0.5,2.1666666666666665,0.9166666666666666,2.9285714285714284,3.0,5.954545454545454,8.863636363636363,5.136363636363637,15.5,4.5,2.5625,0.5,1.2,4.75,0.0,0.0,0.0,0.0,0.0,0.0,4.85,6.125,0.9444444444444444,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,3.0,3.0,0.0,0.0,0.0,10.727272727272727,8.545454545454545,6.5,0,0.0,0.0,0.5,0.5,1.75
Gap,True,True,0.0,2.1666666666666665,0.0,7.552631578947368,12.785714285714286,19.91176470588235,0,0,0.0,0.5,0.5,3.0,1.5,10.38888888888889,13.3,3.7142857142857144,9.047619047619047,6.105263157894737,5.722222222222222,13.25,3.4444444444444446,0.75,6.888888888888889,12.392857142857142,0.0,0.0,0.0,0.0,0.0,0.0,2.5952380952380953,5.394736842105263,1.4642857142857142,0.0,0.0,0.0,0.0,7.75,3.0,0.0,0.0,0.0,0.5,1.125,3.0,0.0,0.0,0.0,11.785714285714286,5.447368421052632,4.909090909090909,0,0.0,0.0,0.5,1.75,1.3333333333333333
Radial,False,False,0.5,0.0,0.5,17.85,10.733333333333333,15.825,0,0,0.0,0.0,0.0,0.0,1.5555555555555556,2.0,0.5,3.7857142857142856,8.09375,4.190476190476191,5.5,2.892857142857143,1.575,1.1111111111111112,0.5,9.0625,0.5,3.0,1.75,0.5,0.5,0.5,5.575,5.966666666666667,1.763157894736842,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,2.1666666666666665,1.0,0.0,0.0,0.5,11.19047619047619,6.181818181818182,1.75,0,0.0,0.0,0.5,0.0,0.5
Radial,False,True,0.5333333333333333,0.5,0.5,21.29268292682927,15.733333333333333,29.180555555555557,0,0,0.0,0.0,0.0,0.0,4.0,5.0,0.9166666666666666,4.440476190476191,8.53125,3.261904761904762,10.378048780487806,20.45,5.9868421052631575,5.3,2.5,6.029411764705882,1.5,4.4,0.8571428571428571,1.75,0.5,3.0,8.619047619047619,6.258620689655173,2.402439024390244,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.7631578947368421,1.5714285714285714,1.6578947368421053,0.5,0.0,0.5,9.670731707317072,3.9583333333333335,2.775,0,0.0,0.0,3.0,3.0,3.0
Radial,True,False,0.5,0.0,0.5,1.7142857142857142,1.9285714285714286,1.1666666666666667,0,0,0.0,0.0,0.0,0.0,9.0,3.0,7.5,4.428571428571429,9.928571428571429,5.571428571428571,12.428571428571429,5.833333333333333,1.8333333333333333,0.5,3.5,6.0,0.0,0.0,0.0,0.5,0.0,0.0,8.214285714285714,11.0,0.7857142857142857,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,7.5,4.571428571428571,5.0,0,0.0,0.0,0.0,0.0,0.0
Radial,True,True,0.5,0.5,0.5,3.1875,5.354166666666667,5.261904761904762,0,0,0.0,0.0,3.0,0.5,3.7222222222222223,14.458333333333334,7.5,4.34,14.26,3.86,6.0,15.840909090909092,3.3863636363636362,0.0,1.0,28.15625,0.0,0.0,0.0,0.5,0.0,0.0,3.217391304347826,8.75,1.8571428571428572,0.0,0.5,0.0,3.0,5.25,0.5,0.5,0.0,0.5,0.5,2.375,0.0,0.0,0.0,3.0,9.25,11.875,4.863636363636363,0,3.0,0.5,0.5,1.3333333333333333,0.5
