Plot_treatment,Plot_number,Quadrat_fenced,Quadrat_gap,Quadrat_number,0,3,6
Control,2,False,False,1,1.5616325151917678,1.9609960925160261,0.6882548262024171
Control,2,False,False,2,1.5184368878851895,2.199347726495861,1.4172722923148737
Control,2,False,False,3,1.3928583248174133,1.5487075064609923,1.2941965593483526
Control,2,False,False,4,1.8129288804939536,2.2394724018637926,1.1762951291264743
Control,2,False,False,5,1.3265662231967905,1.7292103997941655,0.9843269085561159
Control,2,False,False,6,1.487169258027421,1.4378507794001396,1.4702128897980464
Control,2,False,False,7,1.4066437531295173,1.9427302692646067,1.1884267721911213
Control,2,False,False,8,1.0770041224817049,1.2537589569179481,0.9467862164378512
Control,2,False,False,9,1.630323473475415,1.4205719259467045,0.6808006605160158
Control,2,False,False,10,1.3309289013829007,1.8043885417122916,1.2444329565727237
Control,2,False,False,11,1.5703514661311382,1.5876408678007536,1.0741282148965705
Control,2,False,False,12,1.5040076873655344,1.0422051704138733,0.9792462703809115
Control,2,False,False,13,1.350313940800618,1.8261269090500247,0.8736511307120021
Control,2,False,False,14,0.9951108697939647,1.751105361470613,
Control,2,False,False,15,1.9206765920171578,1.8420360904980289,1.3914160989063955
Control,2,False,False,16,1.8603824705528051,1.5167699621742048,1.5214827137155376
Control,4,False,False,1,1.194234371554995,1.4958844119357022,1.1286782137194098
Control,4,False,False,2,1.8653027529087565,1.8215378861052798,0.7229100566050916
Control,4,False,False,3,0.9849048957451804,1.2011418933274645,0.5763974616697747
Control,4,False,False,4,1.394859977711707,1.471237463759905,1.0726698589967292
Control,4,False,False,5,1.4780612314934511,1.383861943543639,0.5638025571168586
Control,4,False,False,6,0.9210855735643053,2.0377740301042215,0.6206319322618702
Control,4,False,False,7,0.5553414826908527,1.6579240955137275,0.6882548262024173
Control,4,False,False,8,,1.2599747504328027,0.4787180741389978
Control,4,False,False,9,0.7280589938983009,1.5432838255146797,1.9212530320280816
Control,4,False,False,10,1.1651388041816784,1.9458945462053654,0.6336243461970257
Control,4,False,False,11,0.9565232195059121,1.5775531595706587,0.8343253910319791
Control,4,False,False,12,0.6645932978806925,1.7827218267324612,2.113719106506649
Control,4,False,False,13,1.0472559679279885,1.4769696031049888,1.0268273536739896
Control,4,False,False,14,1.3882717098827566,2.0789178786225317,1.1645370956482315
Control,4,False,False,15,0.5378133116639232,1.1285312122314426,0.4609621700999719
Control,4,False,False,16,0.9346376601288024,2.136715721682758,0.7062475504613757
Control,4,False,False,17,0.728058993898301,1.621849816892757,1.6661022550876021
Control,4,False,False,18,1.1036126052587207,1.4698116343365126,1.1026151103689326
Control,4,False,False,19,0.8677108043792212,1.4307659398992494,
Control,4,False,False,20,1.595871353024354,1.6557634982447764,1.5755315054929402
Control,4,False,False,21,1.0634130106215733,2.0903860474327303,0.7799550162465079
Control,4,False,False,22,1.3323796189636514,,1.2435020540642792
Control,4,False,False,23,0.9958063511279934,1.8054225861006001,0.640036020064709
Control,4,False,False,24,0.8531903058911254,1.435518817490716,
Control,4,False,False,25,1.1385385012178457,2.011481947956455,1.3006137122382782
Control,4,False,False,26,1.4227912615077243,1.4120851672534431,1.1507864782892403
Control,4,False,False,27,0.8461637579146313,0.8772797432833438,0.8190699896691884
Control,4,False,False,28,,0.999745622406781,0.6880093851773278
Control,4,False,False,29,0.9042976302158141,2.4436158302698052,0.45248920999992037
Control,4,False,False,30,0.9934511134480197,1.7010941435741163,1.1248163942152103
Control,4,False,False,31,1.124648256419889,1.2212293420424076,
Control,4,False,False,32,0.8772797432833437,,1.7721393884375285
Control,6,False,False,1,1.4654720281832587,1.6397436673429238,1.1305321769932517
Control,6,False,False,2,1.8457173725297793,1.664845660510089,1.1700290904033346
Control,6,False,False,3,1.2595825030104812,1.1324893909414349,0.7470922153796568
Control,6,False,False,4,1.3762688874230606,1.566012721175778,0.8601917333560842
Control,6,False,False,5,2.048693230846262,2.3501955913332413,1.5026208180741556
Control,6,False,False,6,1.9353099238804394,2.2891745072142387,1.3087068120924905
Control,6,False,False,7,1.961205483497194,2.4069450512765798,2.062950430702471
Control,6,False,False,8,2.165881409536161,2.0975457597288325,1.5070168972359388
Control,6,False,False,9,1.5436803995217054,0.7868358213179298,0.6849527799414722
Control,6,False,False,10,1.4982474187023547,1.7317390083322481,1.4676869021045884
Control,6,False,False,11,1.9669113753402432,1.244432956572724,1.0634130106215731
Control,6,False,False,12,0.802847726617413,0.9161043239935012,
Control,6,False,False,13,1.814276019406927,1.9366446991956614,1.087696882827057
Control,6,False,False,14,1.413333724411844,2.23429755650099,2.017647674709752
Control,6,False,False,15,1.429252843574626,2.37422348786596,1.4043073366927925
Control,6,False,False,16,2.1137191065066494,1.7917594692280547,1.5171515848932913
Control,11,False,False,1,1.308242917096115,2.457871201358946,2.0028001953245487
Control,11,False,False,2,1.9377917695303906,2.3936107384817595,2.3033795051939387
Control,11,False,False,3,2.426394855354095,1.687128602992977,2.301003827900506
Control,11,False,False,4,1.5775980144080788,2.3924998328350187,2.5253944250375127
Control,11,False,False,5,1.2824201588704536,0.924008994989946,2.4583113296830845
Control,11,False,False,6,0.721404114379774,1.7612052746760836,1.0599850563831925
Control,11,False,False,7,0.6707352135148951,0.8736511307120022,2.243998710517979
Control,11,False,False,8,1.5539041268524159,1.8579115315875037,2.3888897147295793
Control,11,False,False,9,1.953097205693144,1.5363000042295516,1.4741246047318048
Control,11,False,False,10,1.6098324927318162,2.127998191585576,2.2006631885058168
Control,11,False,False,11,1.4066087969590442,2.4025285526349993,2.8463238594677285
Control,11,False,False,12,1.6075587718622644,1.7379834485870502,1.9398012029240115
Control,11,False,False,13,1.5703358815745876,1.37025071614817,1.242786243401958
Control,11,False,False,14,1.7822729827115615,1.8926620097450153,
Control,11,False,False,15,1.5928721346908234,,1.4162123802461737
Control,11,False,False,16,,1.530308132634141,1.2374556736947053
Control,11,False,False,17,1.457067449016767,1.2280765775583395,2.577781982083662
Control,11,False,False,18,1.0218079664669244,1.7475586041416373,
Control,11,False,False,19,2.560940434296997,2.3261417001253215,2.3978952727983707
Control,11,False,False,20,2.002611916791984,1.971711455862675,1.894481128633692
Control,11,False,False,21,,1.496921960277904,1.5480680991926337
Control,11,False,False,22,1.6025754970088526,2.2099355541501,1.5203235395695007
Control,11,False,False,23,1.8550081263779195,2.4538880859383294,1.2860998168245923
Control,11,False,False,24,1.5928721346908237,2.0278181342430366,1.8748129356177388
Control,11,False,False,25,1.5570167707014257,1.5328964498474804,1.1808226788215774
Control,11,False,False,26,1.614549061090775,2.706009350379147,1.9398012029240104
Control,11,False,False,27,1.5062875586964553,2.5247261373156884,1.688820387265439
Control,11,False,False,28,,1.623182493878313,1.280844624481659
Control,11,False,False,29,2.250329987465584,2.145280851319436,1.6661285382328543
Control,11,False,False,30,0.9294341735121486,,2.8133554045006153
Control,11,False,False,31,2.6876392038420818,2.5040533780510756,2.282174095733918
Control,11,False,False,32,1.696746638235161,2.5179826809677253,1.4504352981944628
Gap,1,False,False,1,1.3326699097927481,1.3512953941723473,1.765146805990478
Gap,1,False,False,6,1.2432899326453268,1.0555300925469557,1.3438285004891768
Gap,1,False,False,7,0.9997456224067812,1.5374555502465408,1.6546504306729506
Gap,1,False,False,8,1.4568834663559074,1.99630671208958,1.5733464689697974
Gap,1,False,False,10,1.354757548413994,1.3733984346014145,1.5265808475567664
Gap,1,False,False,11,1.1443996088189716,2.06847275694686,
Gap,1,False,False,12,0.7985524067921741,0.7602400253400187,1.406407127864791
Gap,1,False,False,14,1.0722311958380586,0.81461904293948,0.6716594272322327
Gap,1,False,False,15,1.4412088695257723,1.5633572557967015,1.129228302662548
Gap,1,False,False,16,1.1470343291615879,1.770706381810817,1.455883889453912
Gap,1,False,True,2,1.8054225861006,1.9466360541613148,1.692004097374266
Gap,1,False,True,3,1.924896626982797,1.9129290334454836,1.425962045632458
Gap,1,False,True,4,0.6945943773471215,1.5881694853097765,0.9478501650969523
Gap,1,False,True,5,1.533866375704978,2.309630150806068,2.1659038952058447
Gap,1,False,True,9,1.432457257416522,1.97375106098946,2.0473951170409754
Gap,1,False,True,13,,1.201201243938807,
Gap,8,False,False,1,1.5546674298673502,0.7874697022647829,0.511169598503471
Gap,8,False,False,2,2.02065988387882,,1.7932651396034278
Gap,8,False,False,5,1.7233405608053813,1.452147639348591,1.3792160026765756
Gap,8,False,False,7,2.0310296495247204,1.7823908962457986,1.600845174918871
Gap,8,False,False,8,1.6362205934560743,1.1248163942152105,0.6114521402660009
Gap,8,False,False,12,1.6899312727985143,1.6798894179641983,1.5910103154276471
Gap,8,False,False,16,1.0805419975021178,1.5082308110624456,0.9129768107363042
Gap,8,False,True,3,1.780844063387003,2.614024662322501,1.9258185690421712
Gap,8,False,True,4,2.343109482465918,1.9050856547959159,1.3473945784052275
Gap,8,False,True,6,,1.487266658476656,1.1432352252661708
Gap,8,False,True,9,1.7377355388395705,2.0578703360041715,0.5026549573261498
Gap,8,False,True,10,1.577323293104268,2.111288962528796,1.2975127800620303
Gap,8,False,True,11,1.5414955637282244,1.349761571844262,0.6849755526725059
Gap,8,False,True,13,1.138258760688144,1.4327211249181444,0.5047113381705607
Gap,8,False,True,14,1.830011268230664,1.1970792013458904,1.4479115387350472
Gap,8,False,True,15,1.4882415150077126,2.3050724462865055,1.0316441956134914
Gap,10,False,False,1,1.3626856450495386,2.342276330409715,
Gap,10,False,False,5,2.1006789212792607,1.6394044592011539,1.8128014196539852
Gap,10,False,False,13,1.6958654450774613,1.8342342284269042,2.046818583147297
Gap,10,False,False,15,1.6888203872654393,1.8289112252658712,1.8170607717678087
Gap,10,False,False,17,1.1118772109347042,,2.156175668809789
Gap,10,False,False,19,0.9110175397125628,1.1032634988483543,0.6336632569776564
Gap,10,False,False,21,1.2275294114572126,2.3025850929940455,0.7356219397587946
Gap,10,False,False,23,1.6094379124341005,1.0027182645175161,1.3862943611198906
Gap,10,False,False,27,1.0613950435347348,1.6413929541945451,0.21655989397777298
Gap,10,False,False,29,1.4300560223151524,1.73324767479415,
Gap,10,False,True,3,1.029805155031451,1.9814652610416852,1.0065102694378194
Gap,10,False,True,7,2.358831279638734,2.0147302688590982,1.3706563168738652
Gap,10,False,True,9,,1.4319256662162672,1.6617059339687816
Gap,10,False,True,11,,2.2395633998680164,1.9711025742619124
Gap,10,False,True,25,1.1640234315921414,1.6739871818748815,
Gap,10,False,True,31,1.5375573741926651,2.1898730666719053,0.6053891274380531
Gap,10,True,False,4,,2.2996705067603105,1.4766668949307975
Gap,10,True,False,10,0.834325391031979,1.0472559679279883,1.38467788006781
Gap,10,True,False,14,,2.0245522635606497,1.8571706121520866
Gap,10,True,False,18,1.943031135875052,2.058822033076618,
Gap,10,True,False,28,1.1440958154031926,1.0142045688016303,0.7229100566050918
Gap,10,True,True,2,1.3591147016331488,1.2957600029957994,1.0603547681893766
Gap,10,True,True,6,1.2212293420424072,,2.220081856987899
Gap,10,True,True,8,1.450435298194463,2.6397371073260216,1.9838842642083812
Gap,10,True,True,12,1.2446445889704454,2.172531507181623,0.8740295046396075
Gap,10,True,True,16,1.5940457042068745,1.4811504717769632,1.0142598910427651
Gap,10,True,True,20,,2.2559450958663207,0.9346376601288023
Gap,10,True,True,22,0.7716006649698262,1.6623746288922658,1.203322013743355
Gap,10,True,True,24,1.5242514186624163,2.081364121089526,1.215535810819866
Gap,10,True,True,26,1.3304684934198285,,
Gap,10,True,True,30,1.695865445077461,1.3800049722862453,0.9038991248085275
Gap,10,True,True,32,1.2217000468036474,1.5090755582756232,1.9411258204617705
Gap,12,False,False,1,1.943813450163876,2.2776675174971435,1.6192637369338887
Gap,12,False,False,5,1.5951061864064222,2.477736093365165,
Gap,12,False,False,13,1.9319485437990949,,
Gap,12,False,False,15,,,1.614026753973456
Gap,12,False,False,21,2.1803591371000253,2.532084185770747,1.6394044592011536
Gap,12,False,False,27,0.6400360200647092,1.8661760254687705,
Gap,12,False,False,29,1.2425171438200053,2.2957731403676997,1.3846778800678101
Gap,12,False,False,31,1.4365637645715625,1.3164558260505281,0.7811703381530238
Gap,12,False,True,3,1.9593695786567737,2.6036798312602554,1.8733572325792054
Gap,12,False,True,7,1.1851851513770673,2.633871763029271,1.1175104182345252
Gap,12,False,True,9,,2.5968654403788016,2.1803591371000257
Gap,12,False,True,11,1.945910149055313,2.0176476747097514,
Gap,12,False,True,17,2.1279981915855766,1.4642050992648659,0.4890506128738629
Gap,12,False,True,19,1.7768481776496148,2.3453072285768224,1.1723839709748722
Gap,12,False,True,23,1.0986122886681096,2.076295931808686,1.249343231067561
Gap,12,False,True,25,1.9677898062797115,,0.8148992088079774
Gap,12,True,False,8,1.1291014547531155,2.005474605212578,1.5010022221117154
Gap,12,True,False,22,,2.4578712013589454,1.6934609328174741
Gap,12,True,False,24,,2.189475061175018,2.032720153927704
Gap,12,True,False,26,,2.751351342640356,1.3418515255220562
Gap,12,True,False,30,1.087733505910539,2.131100550052118,1.7331992951349833
Gap,12,True,True,2,2.3282387733727545,1.5795545062793497,1.0112307622789534
Gap,12,True,True,4,1.6661285382328546,2.0969646156419817,1.4265007493185988
Gap,12,True,True,6,0.741425630479122,2.2944890215544786,2.0193351723673865
Gap,12,True,True,10,2.2008276490345495,2.1896591382054273,2.3962580214167057
Gap,12,True,True,12,2.015439647207294,2.052461589203351,1.263755626304776
Gap,12,True,True,14,1.2859368464178964,1.2248795341197956,1.0375825873520506
Gap,12,True,True,16,1.84738355078685,2.252432133942773,0.8991869595246033
Gap,12,True,True,18,,2.0519458347269803,0.7708995384626705
Gap,12,True,True,20,1.589026915173973,2.5625354503536792,
Gap,12,True,True,28,1.7381875325479823,1.6902876367131594,1.0720659121938274
Gap,12,True,True,32,1.580446106820254,2.076201132745573,1.075815851632006
Radial,3,False,False,7,1.3288397941103534,,0.9428926433560427
Radial,3,False,False,8,0.6206319322618703,,0.9173829395337196
Radial,3,False,False,12,,,1.2613568981529448
Radial,3,False,False,15,1.1321724553585681,,1.2877483602947768
Radial,3,False,True,1,1.25448394234522,,0.6469540996693323
Radial,3,False,True,3,1.1438705696501388,,
Radial,3,False,True,4,1.590300399642354,,0.9531932703896814
Radial,3,False,True,5,1.4894032058248956,,0.798552406792174
Radial,3,False,True,6,1.5666346386727172,,1.3707138799012522
Radial,3,False,True,9,1.6314709374508936,,
Radial,3,False,True,11,1.4066103054319117,,0.43414164237904385
Radial,3,False,True,13,1.0445304008744303,,0.30566279179634426
Radial,3,False,True,14,1.447939271423612,,
Radial,3,False,True,16,1.5472432393464484,,1.5606004544943721
Radial,5,False,False,1,1.1246482564198885,1.3199648077380346,0.9962697736551924
Radial,5,False,False,2,,1.27945050396948,1.6213179296550724
Radial,5,False,False,6,1.1903952356215304,,2.3931728712356066
Radial,5,False,False,9,1.5628104271517942,1.7073524447618185,0.9104589500378271
Radial,5,False,True,3,2.7888535522534665,1.4381549425824058,0.9194537762830737
Radial,5,False,True,4,1.071396771574246,0.9467862164378511,0.8787804427277589
Radial,5,False,True,5,1.4381549425824056,1.345406437347639,1.474124604731805
Radial,5,False,True,7,1.3860210897839018,,1.9172644628458364
Radial,5,False,True,8,1.9946829163535826,1.637437523323803,
Radial,5,False,True,10,1.4815920516005863,1.4070614917423554,2.0349851732754805
Radial,5,False,True,11,1.2924082473116334,,1.1050263816951296
Radial,5,False,True,12,1.3631250004139348,,
Radial,5,False,True,13,1.4121855840821573,0.9042743714436678,1.3135178081376453
Radial,5,False,True,14,1.7104302197901595,,1.686906770313612
Radial,5,False,True,15,0.8106006598444992,0.956523219505912,1.3164558260505288
Radial,5,False,True,16,1.284957527602715,0.7320312734105446,0.7476358085029629
Radial,7,False,False,1,1.7024155284334788,1.88785305439329,2.255169262879405
Radial,7,False,False,5,1.9913464134109882,1.945396287061995,
Radial,7,False,False,9,,1.9986878250356612,
Radial,7,False,False,11,2.293118601486813,1.920676592017158,0.9646946227273334
Radial,7,False,False,17,,,1.812801419653985
Radial,7,False,False,21,1.1993856691544533,2.5982328353558617,0.5395442045340944
Radial,7,False,False,23,1.3471937786680184,1.8014765643130128,2.3693821196946767
Radial,7,False,False,25,1.7320719195563488,1.6934609328174743,2.0140355237092673
Radial,7,False,True,3,,1.8836673548726597,
Radial,7,False,True,7,1.052277278634964,2.5777819820836614,1.7804375858531334
Radial,7,False,True,13,,2.499499324125194,
Radial,7,False,True,15,1.2769176414598804,0.984326908556116,1.2717736828788129
Radial,7,False,True,19,0.806504609875222,1.3693745195581433,0.6376887544526771
Radial,7,False,True,27,1.443248736605983,1.4684586844786243,1.502176789231503
Radial,7,False,True,29,,2.134353651824135,1.3931957611190893
Radial,7,False,True,31,1.311027575686729,1.7612864228270486,
Radial,7,True,False,6,1.9665802087267104,2.39895856924248,1.1556148045261736
Radial,7,True,False,16,,2.02455226356065,1.5759690763520329
Radial,7,True,False,22,,,1.3421257227487469
Radial,7,True,False,24,,,2.0794415416798357
Radial,7,True,False,32,1.5453880907804967,1.6961116944888075,
Radial,7,True,True,2,2.1972245773362196,0.9019590058464766,1.9080828270385743
Radial,7,True,True,4,,2.0236156739797737,1.371605667545483
Radial,7,True,True,8,1.1102008655075588,1.3958502034511762,
Radial,7,True,True,10,,1.70911464730987,0.9975496115473373
Radial,7,True,True,12,1.0261309809628512,1.8780945224323744,
Radial,7,True,True,14,,1.8575920492631526,1.589685492859757
Radial,7,True,True,18,,1.6957237143165604,0.6281410094807984
Radial,7,True,True,20,,1.8836673548726595,0.7470177099977583
Radial,7,True,True,26,1.0565671902201104,1.5301894872455812,1.054282596188736
Radial,7,True,True,28,,1.819333207152982,
Radial,7,True,True,30,1.6008451749188708,1.8514295411841972,0.9531932703896815
Radial,9,False,False,15,,1.7332476747941499,
Radial,9,False,False,17,1.7080993092206413,2.0090996830377787,1.8139764379032466
Radial,9,False,True,1,2.2899339509345027,2.129055588449423,
Radial,9,False,True,3,2.3573723001837563,1.8064065255125448,
Radial,9,False,True,5,1.8298625987367736,2.1531954012449517,
Radial,9,False,True,7,,2.1290555884494227,1.5684419540128827
Radial,9,False,True,9,1.4058637256902276,,0.7491877870709805
Radial,9,False,True,11,,1.5900554355548517,1.4205719259467042
Radial,9,False,True,19,,1.8639669108981494,
Radial,9,False,True,21,1.4741246047318053,2.1827373337886278,
Radial,9,False,True,23,1.761384257468556,2.670571842694354,
Radial,9,False,True,25,1.2535133866139856,1.747860561168211,1.3767614342014214
Radial,9,False,True,27,2.112934097811801,1.5668093681173973,0.38888089364222594
Radial,9,False,True,29,2.2004470609016997,1.9357182592009452,1.8342342284269044
Radial,9,False,True,31,1.51602677808777,1.1193243376592115,1.266033143199625
Radial,9,True,False,10,1.3866315793040866,1.6270770054794907,1.393195761119089
Radial,9,True,False,14,1.7067972323918121,2.0535345210139715,2.391827408781429
Radial,9,True,True,2,1.8579115315875043,2.542585651109797,
Radial,9,True,True,4,,2.2715832910673224,0.8920096830053544
Radial,9,True,True,6,1.0874854330711847,1.6525683948287477,1.6702981307295275
Radial,9,True,True,8,1.8663190174666657,1.4106157633294092,1.292518946613928
Radial,9,True,True,12,1.3076913280569586,1.6992029551406966,1.2234108314393535
Radial,9,True,True,16,,1.7638571517159856,1.6426105752281095
Radial,9,True,True,18,1.097657122333557,1.80606768342636,1.5374555502465412
Radial,9,True,True,20,1.6992467996964609,2.270253575980375,1.2024961760929544
Radial,9,True,True,22,1.732071919556349,1.4882415150077124,1.7804375858531332
Radial,9,True,True,24,2.134190102742286,2.31208375847422,
Radial,9,True,True,26,2.0865937535387835,2.457466396436007,1.1811866257445485
Radial,9,True,True,28,,1.9429009416454621,2.1192809219098505
Radial,9,True,True,30,2.575425586024709,0.8689029364959966,
Radial,9,True,True,32,1.6488828376320295,2.748516945299297,1.121984467652671
