Plot_treatment,Plot_number,Quadrat_fenced,Quadrat_gap,Year_monitoring,Climber,Large Forb/Herb,Large Tufted grass/sedge,Medium Forb/Herb,Medium Non-tufted grass/sedge,Medium Tufted grass/sedge,Prostrate Shrub,Prostrate or Mat-forming Forb/Herb,Shrub,Small Forb/Herb,Small Non-tufted grass/sedge,Small Tufted grass/sedge,Tufted Ground Fern,Non-tufted Ground Fern,Small Shrub,Tiny Tufted grass/sedge,Scrambler,Large Shrub to Medium Tree,Large Non-tufted grass/sedge
Control,2,False,False,0,0.5,38.5625,0.5,3.375,8.21875,2.4375,0.5,15.107142857142858,0.5,0.5,0.5,11.375,0.5,,,,,,
Control,2,False,False,3,1.4375,58.625,0.5,12.5,6.266666666666667,5.75,9.0,11.8,,,3.5714285714285716,3.0,2.25,4.5,1.0,,,,
Control,2,False,False,6,0.5,48.53125,,4.4375,3.0625,0.6,3.5,2.75,,,1.6111111111111112,1.2307692307692308,0.5,0.5,,,,,
Control,4,False,False,0,0.875,32.96875,0.625,2.5483870967741935,2.392857142857143,2.25,0.5,1.375,,,0.5,4.112903225806452,0.5,0.5,,,,,
Control,4,False,False,3,1.5333333333333334,46.596774193548384,0.5,8.14516129032258,3.925925925925926,2.466666666666667,0.5,5.274193548387097,,0.5,3.0,3.338709677419355,1.75,1.6428571428571428,0.5,,,,
Control,4,False,False,6,0.5,34.125,0.5,4.140625,0.9642857142857143,0.5,3.0,1.484375,,,0.8571428571428571,1.3461538461538463,0.5,1.75,,0.5,,,
Control,6,False,False,0,1.125,30.0625,2.4285714285714284,3.5625,16.8,3.8214285714285716,,9.65625,0.5,,0.9545454545454546,8.607142857142858,,4.125,,,,,
Control,6,False,False,3,0.5,28.333333333333332,1.25,10.84375,5.833333333333333,1.9375,,7.433333333333334,,0.8571428571428571,3.0,3.2666666666666666,0.5,3.772727272727273,,,,,
Control,6,False,False,6,0.5,38.3125,0.5,3.28125,2.1666666666666665,1.0454545454545454,0.5,1.59375,,,0.6923076923076923,2.3666666666666667,,5.15,,,,,
Control,11,False,False,0,0.5,7.533333333333333,5.972222222222222,4.46875,10.661290322580646,2.25,,13.890625,3.0,0.5,0.7380952380952381,14.17741935483871,,,,,0.5,,
Control,11,False,False,3,0.9166666666666666,10.333333333333334,3.65,8.96875,2.2,2.272727272727273,,9.048387096774194,15.0,,1.6538461538461537,4.609375,,,0.5,,,,
Control,11,False,False,6,0.5,10.7,1.75,6.09375,1.9166666666666667,5.833333333333333,,1.7241379310344827,25.0,0.5,0.5,3.5806451612903225,,,,,0.5,,
Gap,1,False,False,0,0.5,37.05,0.5,2.95,2.95,6.75,,3.15,,0.5,0.8571428571428571,4.611111111111111,,0.5,,,,,
Gap,1,False,False,3,,36.45,1.75,6.222222222222222,2.625,2.0,,2.3333333333333335,,,1.5714285714285714,3.388888888888889,,2.1666666666666665,,,,,
Gap,1,False,False,6,0.5,38.22222222222222,0.5,8.1,1.3,0.6428571428571429,,4.1,,,1.9285714285714286,2.875,0.5,5.333333333333333,,,,,
Gap,1,False,True,0,0.5,24.25,2.8333333333333335,3.8333333333333335,1.5,3.25,,3.5833333333333335,,,1.3333333333333333,7.666666666666667,,4.0,,,,,
Gap,1,False,True,3,0.5,28.666666666666668,3.0,12.5,2.375,5.375,,6.75,,,3.3333333333333335,4.833333333333333,,3.0,,,,,
Gap,1,False,True,6,0.5,40.75,,4.583333333333333,1.0,1.9,,5.333333333333333,0.5,,2.0,2.9166666666666665,0.5,3.0,,,,,
Gap,8,False,False,0,,32.92857142857143,2.8333333333333335,4.071428571428571,1.5714285714285714,3.3333333333333335,,4.285714285714286,,,0.9166666666666666,3.2857142857142856,,7.5,,,,,
Gap,8,False,False,3,,29.714285714285715,1.3333333333333333,3.7857142857142856,1.2142857142857142,3.2,,1.5833333333333333,,,0.5,2.642857142857143,,3.0,,,,0.5,
Gap,8,False,False,6,,28.428571428571427,0.5,3.6666666666666665,0.9166666666666666,0.9,,1.7142857142857142,,,0.5,2.5,,7.5,,,,,
Gap,8,False,True,0,0.5,26.666666666666668,6.0,4.833333333333333,8.944444444444445,2.8333333333333335,,12.642857142857142,0.5,,0.9166666666666666,11.166666666666666,0.5,,,,,,
Gap,8,False,True,3,,29.166666666666668,3.6666666666666665,10.166666666666666,10.0,2.5,,2.1666666666666665,,,2.0,5.666666666666667,0.5,,,,,,
Gap,8,False,True,6,,44.0625,0.5,5.1875,3.642857142857143,8.416666666666666,,2.75,,,0.5,1.8571428571428572,3.0,,,0.5,,,
Gap,10,False,False,0,,3.25,4.125,1.3888888888888888,2.5,,,2.2,,,0.5,7.35,0.5,,,,,,
Gap,10,False,False,3,,2.8125,1.3333333333333333,3.7777777777777777,1.5714285714285714,,,2.8333333333333335,,,0.5,4.777777777777778,0.5,,,,,,
Gap,10,False,False,6,,7.928571428571429,,4.4375,2.0833333333333335,1.0,,0.7777777777777778,,,,1.6111111111111112,0.5,,,,,,
Gap,10,False,True,0,,7.833333333333333,17.75,2.0833333333333335,2.0,,0.5,0.8,,,,8.5,0.5,,,,,0.5,
Gap,10,False,True,3,0.5,10.75,7.75,13.583333333333334,6.4,,0.5,2.8333333333333335,,0.5,0.5,9.916666666666666,3.0,,,3.0,,0.5,
Gap,10,False,True,6,,24.5,,4.166666666666667,3.5,1.3333333333333333,,2.0,,,0.5,2.1666666666666665,0.5,,,,,0.5,
Gap,10,True,False,0,,8.75,1.75,2.3,6.166666666666667,0.5,,6.625,,,0.5,20.6,0.5,,,,,,
Gap,10,True,False,3,,10.3,5.25,7.8,,0.5,,2.1666666666666665,,,,12.2,0.5,,,,,0.5,
Gap,10,True,False,6,,11.0,,4.5,2.25,5.333333333333333,,1.0,,,3.0,9.1,1.75,,,,,0.5,
Gap,10,True,True,0,,4.5,1.75,2.3636363636363638,3.7222222222222223,,,1.6363636363636365,,,0.5,14.545454545454545,0.5,,,,,0.5,
Gap,10,True,True,3,,10.863636363636363,14.5,10.227272727272727,13.8,3.0,,6.8,7.75,,0.5,7.7,1.75,,,,,0.5,
Gap,10,True,True,6,,19.9375,18.666666666666668,7.5,3.7222222222222223,16.0,,1.6428571428571428,3.0,,3.0,5.6875,1.3333333333333333,,,,,3.0,
Gap,12,False,False,0,,5.4375,4.166666666666667,4.0,11.375,,,3.1666666666666665,,,0.5,2.4285714285714284,,,,,,0.5,
Gap,12,False,False,3,0.5,8.5,2.875,7.8125,3.9285714285714284,0.5,,3.142857142857143,,,0.5,2.2142857142857144,,,,,0.5,,
Gap,12,False,False,6,,12.3125,3.0,4.6875,3.0,1.875,,0.6428571428571429,,,,2.25,,,0.5,,,0.5,
Gap,12,False,True,0,,4.0,2.1666666666666665,2.5625,6.428571428571429,,,4.571428571428571,,,,5.142857142857143,,,,,,0.5,
Gap,12,False,True,3,0.5,10.5,2.5,11.1875,8.75,1.6,0.5,4.416666666666667,,0.5,3.6666666666666665,1.7857142857142858,,,,1.75,,,
Gap,12,False,True,6,0.5,8.5,2.8333333333333335,5.25,19.714285714285715,1.125,,1.5,,,,7.666666666666667,1.0,,,,,,
Gap,12,True,False,0,,3.5,0.5,4.6,22.7,,,2.7,,,,2.4,,,,,,,
Gap,12,True,False,3,,6.8,1.75,10.2,5.3,1.6666666666666667,,6.125,,,3.0,5.3,,,,,,,
Gap,12,True,False,6,,8.25,,4.5,2.875,4.4,,1.0,0.5,,,3.25,,,,,,3.0,3.0
Gap,12,True,True,0,,9.9,0.5,7.545454545454546,7.7,0.75,,4.090909090909091,,,,8.227272727272727,,,,,,0.5,
Gap,12,True,True,3,2.1666666666666665,16.818181818181817,2.375,7.7272727272727275,11.7,7.375,,5.25,,,3.0,3.3,,,,,,0.5,
Gap,12,True,True,6,,23.7,4.5,5.454545454545454,3.1666666666666665,9.6875,,1.1875,,,,2.8333333333333335,,,,,,3.0,
Radial,3,False,False,0,0.5,44.9,,2.7,10.4,1.5,,5.875,,,0.5,2.1,0.5,,,,,,
Radial,3,False,False,6,0.5,38.0,,5.7,1.6,1.3333333333333333,,2.75,,,3.0,2.0,0.5,,,,,,
Radial,3,False,True,0,0.5714285714285714,35.5,0.5,3.6818181818181817,4.2272727272727275,6.583333333333333,1.75,15.227272727272727,,0.5,0.8125,11.909090909090908,,0.5,0.5,,,,
Radial,3,False,True,6,0.5,48.45454545454545,,3.6818181818181817,1.6111111111111112,1.0,3.0,3.272727272727273,,,1.125,1.2727272727272727,,0.5,0.5,,,,
Radial,5,False,False,0,,33.833333333333336,1.3333333333333333,2.625,5.375,1.0,,2.625,,,0.5,10.75,,0.5,,,,,
Radial,5,False,False,3,,36.333333333333336,3.0,4.75,2.25,0.5,,5.375,,,1.75,3.0,,3.0,,,,,
Radial,5,False,False,6,,29.875,0.5,2.75,1.25,1.5,,3.25,,,0.5,2.125,,1.75,,,,,
Radial,5,False,True,0,0.5,36.958333333333336,1.125,4.25,17.25,2.0714285714285716,,4.333333333333333,0.5,,0.5,7.25,,1.75,,,,,
Radial,5,False,True,3,0.5,39.35,0.5,3.4166666666666665,15.681818181818182,0.875,0.5,6.090909090909091,,,0.5,0.6,,4.4,,,,,
Radial,5,False,True,6,0.5,40.54545454545455,0.5,3.772727272727273,4.2272727272727275,0.5,,3.0454545454545454,,,2.0454545454545454,3.272727272727273,,0.9166666666666666,,,,,
Radial,7,False,False,0,,1.8125,1.9,3.75,0.8571428571428571,0.5,0.5,6.0625,,,0.5,19.9375,,,,,,,
Radial,7,False,False,3,,2.125,2.1666666666666665,9.875,3.3333333333333335,0.5,0.5,4.75,,,3.0,6.9375,,,,,,,
Radial,7,False,False,6,,0.5714285714285714,,4.125,1.5,16.75,0.5,0.9285714285714286,,,,1.625,,,0.5,,,,
Radial,7,False,True,0,0.5,1.0,7.375,3.2857142857142856,10.333333333333334,0.5,,3.4375,,,,15.4375,,,,,,,
Radial,7,False,True,3,0.5,1.375,11.0,7.6875,10.375,3.0,,7.083333333333333,,,0.5,3.375,,,,,0.5,,
Radial,7,False,True,6,,1.1,3.0,3.4375,8.285714285714286,19.75,,2.0625,,,,3.7142857142857144,,,,,,,
Radial,7,True,False,0,,1.4,3.0,3.5,5.4,0.5,0.5,8.4,,,0.5,6.9,,,,,,,
Radial,7,True,False,3,,2.1,3.0,8.1,7.25,,,3.875,,,,5.7,,,,,0.5,,
Radial,7,True,False,6,0.5,0.625,7.5,6.4,1.75,3.0,,0.8,,,,5.3,,,,,,,
Radial,7,True,True,0,,1.4090909090909092,3.8333333333333335,2.3181818181818183,2.909090909090909,,0.5,1.85,,,,11.95,0.5,,,,,,
Radial,7,True,True,3,0.5,2.7,23.8,11.954545454545455,7.388888888888889,0.5,,13.8,,,0.5,13.863636363636363,1.3333333333333333,,,,0.5,,
Radial,7,True,True,6,0.5,2.1,7.5,2.6818181818181817,2.9545454545454546,29.9,,1.2222222222222223,0.5,0.5,,4.318181818181818,0.5,,3.0,0.5,,,
Radial,9,False,False,0,,1.75,,5.25,4.0,,,8.25,,,,0.5,,,,,,,
Radial,9,False,False,3,,3.75,,9.25,1.75,,,18.5,,,,,,,,,,,
Radial,9,False,False,6,,0.75,,3.5,3.0,,,0.75,,,,2.0,,,,,,,
Radial,9,False,True,0,0.5,3.2857142857142856,3.6666666666666665,6.214285714285714,9.464285714285714,25.0,,9.807692307692308,0.5,,3.0,6.333333333333333,3.0,,,,0.5,,
Radial,9,False,True,3,,6.785714285714286,2.375,13.107142857142858,28.153846153846153,5.5,,5.964285714285714,,,2.0,5.730769230769231,3.0,,,,,,
Radial,9,False,True,6,,6.136363636363637,0.5,2.5714285714285716,8.615384615384615,2.9166666666666665,3.0,1.0769230769230769,,,,2.8076923076923075,3.0,,,,,,
Radial,9,True,False,0,0.5,2.5,15.0,6.75,30.0,,,7.75,,,,9.0,,,,,,,
Radial,9,True,False,3,,1.5,3.0,14.5,3.0,3.5,,25.25,,,,1.75,,,,,,,
Radial,9,True,False,6,,2.25,,3.5,2.0,9.0,,0.75,,,,4.25,,,,,,,
Radial,9,True,True,0,0.5,4.6923076923076925,3.6666666666666665,5.928571428571429,8.615384615384615,,,4.269230769230769,3.0,0.5,0.5,7.321428571428571,,,,,,,
Radial,9,True,True,3,0.5,7.25,7.785714285714286,16.071428571428573,21.692307692307693,1.3333333333333333,,5.142857142857143,5.25,,3.0,10.192307692307692,,,,3.0,,3.0,
Radial,9,True,True,6,,8.136363636363637,,4.785714285714286,3.8181818181818183,25.25,,2.3333333333333335,,,,5.409090909090909,,,,,,0.5,
