Plot_treatment,Plot_number,Quadrat_fenced,Quadrat_gap,Year_monitoring,Climber,Large Forb/Herb,Medium Forb/Herb,Medium Non-tufted grass/sedge,Medium Tufted grass/sedge,Prostrate or Mat-forming Forb/Herb,Small Non-tufted grass/sedge,Small Tufted grass/sedge,Prostrate Shrub,Tufted Ground Fern,Shrub,Small Forb/Herb,Large Tufted grass/sedge,Small Shrub,Non-tufted Ground Fern,Tiny Tufted grass/sedge,Scrambler,Large Shrub to Medium Tree,Large Non-tufted grass/sedge
Control,2,False,False,0,0.25,38.5625,3.375,8.21875,1.21875,13.21875,0.3125,11.375,0.03125,0.0625,0.03125,0.0625,0.03125,0.0,0.0,0.0,0.0,0.0,0.0
Control,2,False,False,3,0.71875,58.625,12.5,5.875,5.03125,11.0625,3.125,1.875,0.5625,0.28125,0.0,0.0,0.03125,0.0625,0.84375,0.0,0.0,0.0,0.0
Control,2,False,False,6,0.25,48.53125,4.4375,3.0625,0.375,2.75,0.90625,1.0,0.21875,0.03125,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0
Control,4,False,False,0,0.21875,32.96875,2.46875,2.09375,1.265625,1.03125,0.296875,3.984375,0.015625,0.015625,0.0,0.0,0.078125,0.0,0.09375,0.0,0.0,0.0,0.0
Control,4,False,False,3,0.7419354838709677,46.596774193548384,8.14516129032258,3.4193548387096775,1.1935483870967742,5.274193548387097,2.6129032258064515,3.338709677419355,0.03225806451612903,0.11290322580645161,0.0,0.016129032258064516,0.04838709677419355,0.016129032258064516,0.3709677419354839,0.0,0.0,0.0,0.0
Control,4,False,False,6,0.046875,34.125,4.140625,0.84375,0.125,1.484375,0.375,1.09375,0.09375,0.015625,0.0,0.0,0.015625,0.0,0.109375,0.015625,0.0,0.0,0.0
Control,6,False,False,0,0.28125,30.0625,3.5625,15.75,3.34375,9.65625,0.65625,7.53125,0.0,0.0,0.03125,0.0,1.0625,0.0,3.09375,0.0,0.0,0.0,0.0
Control,6,False,False,3,0.1875,26.5625,10.84375,5.46875,1.9375,6.96875,0.5625,3.0625,0.0,0.09375,0.0,0.375,0.3125,0.0,2.59375,0.0,0.0,0.0,0.0
Control,6,False,False,6,0.125,38.3125,3.28125,2.03125,0.71875,1.59375,0.5625,2.21875,0.09375,0.0,0.0,0.0,0.125,0.0,3.21875,0.0,0.0,0.0,0.0
Control,11,False,False,0,0.015625,7.0625,4.46875,10.328125,0.703125,13.890625,0.484375,13.734375,0.0,0.0,0.09375,0.0625,3.359375,0.0,0.0,0.0,0.078125,0.0,0.0
Control,11,False,False,3,0.171875,9.6875,8.96875,2.0625,0.78125,8.765625,1.34375,4.609375,0.0,0.0,0.46875,0.0,1.140625,0.015625,0.0,0.0,0.0,0.0,0.0
Control,11,False,False,6,0.046875,10.03125,6.09375,1.796875,3.28125,1.5625,0.109375,3.46875,0.0,0.0,0.78125,0.046875,0.109375,0.0,0.0,0.0,0.046875,0.0,0.0
Gap,1,False,False,0,0.1,37.05,2.95,2.95,4.05,3.15,0.6,4.15,0.0,0.0,0.0,0.05,0.05,0.0,0.1,0.0,0.0,0.0,0.0
Gap,1,False,False,3,0.0,36.45,5.6,2.1,1.4,2.1,1.1,3.05,0.0,0.0,0.0,0.0,0.35,0.0,0.65,0.0,0.0,0.0,0.0
Gap,1,False,False,6,0.1,34.4,8.1,1.3,0.45,4.1,1.35,2.3,0.0,0.05,0.0,0.0,0.05,0.0,1.6,0.0,0.0,0.0,0.0
Gap,1,False,True,0,0.16666666666666666,24.25,3.8333333333333335,1.25,1.0833333333333333,3.5833333333333335,0.6666666666666666,7.666666666666667,0.0,0.0,0.0,0.0,1.4166666666666667,0.0,1.3333333333333333,0.0,0.0,0.0,0.0
Gap,1,False,True,3,0.08333333333333333,28.666666666666668,12.5,1.5833333333333333,3.5833333333333335,6.75,3.3333333333333335,4.833333333333333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Gap,1,False,True,6,0.16666666666666666,40.75,4.583333333333333,0.8333333333333334,1.5833333333333333,5.333333333333333,1.6666666666666667,2.9166666666666665,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Gap,8,False,False,0,0.0,32.92857142857143,4.071428571428571,1.5714285714285714,2.857142857142857,4.285714285714286,0.7857142857142857,3.2857142857142856,0.0,0.0,0.0,0.0,1.2142857142857142,0.0,1.0714285714285714,0.0,0.0,0.0,0.0
Gap,8,False,False,3,0.0,29.714285714285715,3.7857142857142856,1.2142857142857142,2.2857142857142856,1.3571428571428572,0.42857142857142855,2.642857142857143,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.42857142857142855,0.0,0.0,0.07142857142857142,0.0
Gap,8,False,False,6,0.0,28.428571428571427,3.142857142857143,0.7857142857142857,0.6428571428571429,1.7142857142857142,0.07142857142857142,2.5,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,1.0714285714285714,0.0,0.0,0.0,0.0
Gap,8,False,True,0,0.05555555555555555,26.666666666666668,4.833333333333333,8.944444444444445,0.9444444444444444,9.833333333333334,0.6111111111111112,11.166666666666666,0.0,0.05555555555555555,0.1111111111111111,0.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0
Gap,8,False,True,3,0.0,29.166666666666668,10.166666666666666,8.88888888888889,1.3888888888888888,2.1666666666666665,1.1111111111111112,5.666666666666667,0.0,0.05555555555555555,0.0,0.0,1.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0
Gap,8,False,True,6,0.0,39.166666666666664,4.611111111111111,2.8333333333333335,5.611111111111111,2.4444444444444446,0.16666666666666666,1.4444444444444444,0.0,0.3333333333333333,0.0,0.0,0.1111111111111111,0.0,0.0,0.05555555555555555,0.0,0.0,0.0
Gap,10,False,False,0,0.0,1.95,1.25,1.75,0.0,2.2,0.1,7.35,0.0,0.05,0.0,0.0,1.65,0.0,0.0,0.0,0.0,0.0,0.0
Gap,10,False,False,3,0.0,2.5,3.7777777777777777,1.2222222222222223,0.0,2.8333333333333335,0.1111111111111111,4.777777777777778,0.0,0.05555555555555555,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0
Gap,10,False,False,6,0.0,5.55,3.55,1.25,0.5,0.7,0.0,1.45,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gap,10,False,True,0,0.0,7.833333333333333,2.0833333333333335,1.6666666666666667,0.0,0.6666666666666666,0.0,8.5,0.08333333333333333,0.08333333333333333,0.0,0.0,5.916666666666667,0.0,0.0,0.0,0.0,0.08333333333333333,0.0
Gap,10,False,True,3,0.08333333333333333,10.75,13.583333333333334,5.333333333333333,0.0,2.8333333333333335,0.25,9.916666666666666,0.08333333333333333,0.5,0.0,0.08333333333333333,2.5833333333333335,0.0,0.0,0.5,0.0,0.08333333333333333,0.0
Gap,10,False,True,6,0.0,16.333333333333332,4.166666666666667,2.9166666666666665,0.6666666666666666,2.0,0.08333333333333333,1.0833333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0
Gap,10,True,False,0,0.0,7.0,2.3,3.7,0.1,5.3,0.2,20.6,0.0,0.3,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
Gap,10,True,False,3,0.0,10.3,7.8,0.0,0.2,1.3,0.0,12.2,0.0,0.2,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.1,0.0
Gap,10,True,False,6,0.0,8.8,4.5,1.8,3.2,1.0,0.6,9.1,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Gap,10,True,True,0,0.0,4.090909090909091,2.3636363636363638,3.0454545454545454,0.0,1.6363636363636365,0.13636363636363635,14.545454545454545,0.0,0.09090909090909091,0.0,0.0,0.6363636363636364,0.0,0.0,0.0,0.0,0.045454545454545456,0.0
Gap,10,True,True,3,0.0,10.863636363636363,10.227272727272727,6.2727272727272725,0.2727272727272727,6.181818181818182,0.13636363636363635,7.0,0.0,0.3181818181818182,1.4090909090909092,0.0,7.909090909090909,0.0,0.0,0.0,0.0,0.09090909090909091,0.0
Gap,10,True,True,6,0.0,14.5,6.136363636363637,3.0454545454545454,8.727272727272727,1.0454545454545454,0.5454545454545454,4.136363636363637,0.0,0.36363636363636365,0.2727272727272727,0.0,5.090909090909091,0.0,0.0,0.0,0.0,0.2727272727272727,0.0
Gap,12,False,False,0,0.0,5.4375,4.0,11.375,0.0,2.375,0.0625,2.125,0.0,0.0,0.0,0.0,3.125,0.0,0.0,0.0,0.0,0.125,0.0
Gap,12,False,False,3,0.125,8.5,7.8125,3.4375,0.25,2.75,0.0625,1.9375,0.0,0.0,0.0,0.0,1.4375,0.0,0.0,0.0,0.0625,0.0,0.0
Gap,12,False,False,6,0.0,12.3125,4.6875,1.875,0.9375,0.5625,0.0,2.25,0.0,0.0,0.0,0.0,0.375,0.0625,0.0,0.0,0.0,0.0625,0.0
Gap,12,False,True,0,0.0,3.5,2.5625,5.625,0.0,4.0,0.0,4.5,0.0,0.0,0.0,0.0,0.8125,0.0,0.0,0.0,0.0,0.0625,0.0
Gap,12,False,True,3,0.0625,10.5,11.1875,8.75,1.0,3.3125,1.375,1.5625,0.0625,0.0,0.0,0.0625,1.5625,0.0,0.0,0.4375,0.0,0.0,0.0
Gap,12,False,True,6,0.125,7.4375,3.9375,17.25,0.5625,1.5,0.0,5.75,0.0,0.125,0.0,0.0,1.0625,0.0,0.0,0.0,0.0,0.0,0.0
Gap,12,True,False,0,0.0,3.5,4.6,22.7,0.0,2.7,0.0,2.4,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Gap,12,True,False,3,0.0,6.8,10.2,5.3,1.0,4.9,0.6,5.3,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0
Gap,12,True,False,6,0.0,6.6,4.5,2.3,4.4,0.6,0.0,2.6,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6
Gap,12,True,True,0,0.0,9.0,7.545454545454546,7.0,0.13636363636363635,4.090909090909091,0.0,8.227272727272727,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091,0.0
Gap,12,True,True,3,0.5909090909090909,16.818181818181817,7.7272727272727275,10.636363636363637,5.363636363636363,4.7727272727272725,0.2727272727272727,3.0,0.0,0.0,0.0,0.0,0.8636363636363636,0.0,0.0,0.0,0.0,0.045454545454545456,0.0
Gap,12,True,True,6,0.0,21.545454545454547,5.454545454545454,2.590909090909091,7.045454545454546,0.8636363636363636,0.0,0.7727272727272727,0.0,0.0,0.0,0.0,1.2272727272727273,0.0,0.0,0.0,0.0,0.2727272727272727,0.0
Radial,3,False,False,0,0.2,44.9,2.7,10.4,1.5,4.7,0.4,2.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Radial,3,False,False,6,0.1,38.0,5.7,1.6,0.8,2.2,0.6,1.6,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Radial,3,False,True,0,0.36363636363636365,35.5,3.6818181818181817,4.2272727272727275,3.590909090909091,15.227272727272727,0.5909090909090909,11.909090909090908,0.3181818181818182,0.0,0.0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.0,0.0,0.0,0.0
Radial,3,False,True,6,0.18181818181818182,48.45454545454545,3.6818181818181817,1.3181818181818181,0.45454545454545453,3.272727272727273,0.8181818181818182,1.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.0,0.0,0.0,0.0
Radial,5,False,False,0,0.0,25.375,2.625,5.375,0.25,2.625,0.375,10.75,0.0,0.0,0.0,0.0,1.0,0.0,0.125,0.0,0.0,0.0,0.0
Radial,5,False,False,3,0.0,27.25,4.75,2.25,0.25,5.375,0.875,0.75,0.0,0.0,0.0,0.0,0.75,0.0,1.5,0.0,0.0,0.0,0.0
Radial,5,False,False,6,0.0,29.875,2.75,1.25,0.375,3.25,0.5,2.125,0.0,0.0,0.0,0.0,0.125,0.0,0.875,0.0,0.0,0.0,0.0
Radial,5,False,True,0,0.25,36.958333333333336,4.25,17.25,1.2083333333333333,4.333333333333333,0.4166666666666667,7.25,0.0,0.0,0.041666666666666664,0.0,0.375,0.0,0.5833333333333334,0.0,0.0,0.0,0.0
Radial,5,False,True,3,0.08333333333333333,32.791666666666664,3.4166666666666665,14.375,0.2916666666666667,5.583333333333333,0.041666666666666664,0.25,0.041666666666666664,0.0,0.0,0.0,0.16666666666666666,0.0,1.8333333333333333,0.0,0.0,0.0,0.0
Radial,5,False,True,6,0.2727272727272727,40.54545454545455,3.772727272727273,4.2272727272727275,0.09090909090909091,3.0454545454545454,2.0454545454545454,3.272727272727273,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.5,0.0,0.0,0.0,0.0
Radial,7,False,False,0,0.0,1.8125,3.75,0.75,0.1875,6.0625,0.125,19.9375,0.0625,0.0,0.0,0.0,1.1875,0.0,0.0,0.0,0.0,0.0,0.0
Radial,7,False,False,3,0.0,2.125,9.875,2.5,0.125,4.75,0.375,6.9375,0.0625,0.0,0.0,0.0,0.8125,0.0,0.0,0.0,0.0,0.0,0.0
Radial,7,False,False,6,0.0,0.5,4.125,1.5,8.375,0.8125,0.0,1.625,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0
Radial,7,False,True,0,0.0625,0.75,2.875,7.75,0.0625,3.4375,0.0,15.4375,0.0,0.0,0.0,0.0,3.6875,0.0,0.0,0.0,0.0,0.0,0.0
Radial,7,False,True,3,0.0625,1.375,7.6875,10.375,0.375,5.3125,0.0625,3.375,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0625,0.0,0.0
Radial,7,False,True,6,0.0,0.6875,3.4375,7.25,9.875,2.0625,0.0,3.25,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0
Radial,7,True,False,0,0.0,1.4,3.5,5.4,0.1,8.4,0.1,6.9,0.1,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
Radial,7,True,False,3,0.0,2.1,8.1,5.8,0.0,3.1,0.0,5.7,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.1,0.0,0.0
Radial,7,True,False,6,0.1,0.5,6.4,1.4,0.6,0.8,0.0,5.3,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
Radial,7,True,True,0,0.0,1.4090909090909092,2.3181818181818183,2.909090909090909,0.0,1.6818181818181819,0.0,10.863636363636363,0.045454545454545456,0.13636363636363635,0.0,0.0,1.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.0
Radial,7,True,True,3,0.045454545454545456,2.4545454545454546,11.954545454545455,6.045454545454546,0.09090909090909091,12.545454545454545,0.045454545454545456,13.863636363636363,0.0,0.36363636363636365,0.0,0.0,10.818181818181818,0.0,0.0,0.0,0.045454545454545456,0.0,0.0
Radial,7,True,True,6,0.045454545454545456,1.9090909090909092,2.6818181818181817,2.9545454545454546,27.181818181818183,1.0,0.0,4.318181818181818,0.0,0.13636363636363635,0.09090909090909091,0.045454545454545456,0.6818181818181818,0.2727272727272727,0.0,0.045454545454545456,0.0,0.0,0.0
Radial,9,False,False,0,0.0,1.75,5.25,4.0,0.0,8.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Radial,9,False,False,3,0.0,3.75,9.25,1.75,0.0,9.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Radial,9,False,False,6,0.0,0.75,3.5,1.5,0.0,0.75,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Radial,9,False,True,0,0.03571428571428571,3.2857142857142856,6.214285714285714,9.464285714285714,1.7857142857142858,9.107142857142858,0.21428571428571427,5.428571428571429,0.0,0.21428571428571427,0.03571428571428571,0.0,1.5714285714285714,0.0,0.0,0.0,0.07142857142857142,0.0,0.0
Radial,9,False,True,3,0.0,6.785714285714286,13.107142857142858,26.142857142857142,0.7857142857142857,5.964285714285714,0.7142857142857143,5.321428571428571,0.0,0.21428571428571427,0.0,0.0,0.6785714285714286,0.0,0.0,0.0,0.0,0.0,0.0
Radial,9,False,True,6,0.0,4.821428571428571,2.5714285714285716,8.0,1.25,1.0,0.0,2.607142857142857,0.21428571428571427,0.21428571428571427,0.0,0.0,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
Radial,9,True,False,0,0.25,2.5,6.75,30.0,0.0,7.75,0.0,9.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0
Radial,9,True,False,3,0.0,1.5,14.5,3.0,1.75,25.25,0.0,1.75,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
Radial,9,True,False,6,0.0,2.25,3.5,2.0,4.5,0.75,0.0,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Radial,9,True,True,0,0.03571428571428571,4.357142857142857,5.928571428571429,8.0,0.0,3.9642857142857144,0.03571428571428571,7.321428571428571,0.0,0.0,0.42857142857142855,0.07142857142857142,1.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
Radial,9,True,True,3,0.07142857142857142,7.25,16.071428571428573,20.142857142857142,0.2857142857142857,5.142857142857143,0.6428571428571429,9.464285714285714,0.0,0.0,0.75,0.0,3.892857142857143,0.0,0.0,0.21428571428571427,0.0,0.21428571428571427,0.0
Radial,9,True,True,6,0.0,6.392857142857143,4.785714285714286,3.0,10.821428571428571,2.0,0.0,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0
